20 20
15
12 5    
 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15  1  1  1  1  1
    2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2
    2 11  2 15  1 15  2 15  1  1  1  1  2  1  1  1  1  1 15  2
    2 15  2  1  2  1  2  1  9  1  9  1  1  7 10 10  1  1  1  2
    2  1  2  1  2  1  2  2  2  2  2  2 10 10 10  2  2  2  2  2
    2  1  2  1  2  1  2  1  1  1  2  1 10 10 10  1  9  1  1  2
    2  1  2  1  2  1  2  1  9  1  2  1  9  2  1  1  1  9  1  2
    2  1  2  1  2 13  2  1 15  1  2  1  1  2  1  1  9  1  1  2
    2  1  1 15  2  1  2  1  9  1  2  1 15  2  1  1  1  1  1  2
    2  1  2  2  2  1  2  1 15  1  2  2  2  2  2  2  2  2  1  2
    2  1  2 15  1  1  2  1  9  1  1 10 10 10 15 13  2  2  1  2
    2  1  2  1  2  2  2  1  1  1  2  2  2  2  2  2  2  2  4  2
    2  1  2  1  2  1  1  1 14  1  2  1  2  1  1  1  1  1  1  2
    2 14  2  1  2  4  2  2  2  2  2  1  2  8  2  2  2  2  8  2
    2  1  2  1  1  1  1  1  1  1  1  1  6  1 10 10 10  1  1  2
    2  7  2  2  2  2  2  2  9  2  2  2  2  1 10 15 10  9  1  2
    2  1  1  1  1  1 15 10 10  2  1  2  1  1 10 10 10 10  9  2
    2  1  1  9  1  9  1  2 10  5  3  2  1  1  9 10 11 10 10  2
    2 12  1  1  1  1  1 15 10  2  1  2  1  1  1 10 10 10 15  2
    2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2

0  1  12  4  11  3  2  5  13  14  6  7  8  9  10  0  0  0  0  0  
1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  
1  6  1  10  0  10  1  10  0  0  0  0  1  0  0  0  0  0  10  1  
1  10  1  0  1  0  1  0  13  0  13  0  0  2  14  14  0  0  0  1  
1  0  1  0  1  0  1  1  1  1  1  1  14  14  14  1  1  1  1  1  
1  0  1  0  1  0  1  0  0  0  1  0  14  14  14  0  13  0  0  1  
1  0  1  0  1  0  1  0  13  0  1  0  13  1  0  0  0  13  0  1  
1  0  1  0  1  8  1  0  10  0  1  0  0  1  0  0  13  0  0  1  
1  0  0  10  1  0  1  0  13  0  1  0  10  1  0  0  0  0  0  1  
1  0  1  1  1  0  1  0  10  0  1  1  1  1  1  1  1  1  0  1  
1  0  1  10  0  0  1  0  13  0  0  14  14  14  10  8  1  1  0  1  
1  0  1  0  1  1  1  0  0  0  1  1  1  1  1  1  1  1  4  1  
1  0  1  0  1  0  0  0  9  0  1  0  1  0  0  0  0  0  0  1  
1  9  1  0  1  4  1  1  1  1  1  0  1  5  1  1  1  1  5  1  
1  0  1  0  0  0  0  0  0  0  0  0  3  0  14  14  14  0  0  1  
1  2  1  1  1  1  1  1  13  1  1  1  1  0  14  10  14  13  0  1  
1  0  0  0  0  0  10  14  14  1  0  1  0  0  14  14  14  14  13  1  
1  0  0  13  0  13  0  1  14  11  12  1  0  0  13  14  6  14  14  1  
1  7  0  0  0  0  0  10  14  1  0  1  0  0  0  14  14  14  10  1  
1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  
